anio;clave_formulario;clave_de_entidad;tipo_cliente_o_usuario;clasificacion_grado_riesgo;pais_nacionalidad;pais_residencia;entidad_federativa_residencia;act_eco_pld;numero_total_clientes
2025;A1;27034;1;1;157;157;26;459025;1
2025;A1;27034;1;1;157;157;26;5011010;1
2025;A1;27034;1;1;157;157;26;6112015;2
2025;A1;27034;1;1;157;157;26;6132021;1
2025;A1;27034;1;1;157;157;26;6212013;1
2025;A1;27034;1;1;157;157;26;6231021;1
2025;A1;27034;1;1;157;157;26;6233019;1
2025;A1;27034;1;1;157;157;26;6312011;1
2025;A1;27034;1;1;157;157;26;6400006;1
2025;A1;27034;1;1;157;157;26;6622022;1
2025;A1;27034;1;1;157;157;26;6711015;4
2025;A1;27034;1;1;157;157;26;6712013;1
2025;A1;27034;1;1;157;157;26;6722012;1
2025;A1;27034;1;1;157;157;26;6815015;2
2025;A1;27034;1;1;157;157;26;7300007;1
2025;A1;27034;1;1;157;157;26;7500003;1
2025;A1;27034;1;1;157;157;26;7511018;1
2025;A1;27034;1;1;157;157;26;7600001;1
2025;A1;27034;1;1;157;157;26;8211039;1
2025;A1;27034;1;1;157;157;26;8219017;1
2025;A1;27034;1;1;157;157;26;8300006;4
2025;A1;27034;1;1;157;157;26;8313017;1
2025;A1;27034;1;1;157;157;26;8413015;4
2025;A1;27034;1;1;157;157;26;8414013;2
2025;A1;27034;1;1;157;157;26;8426026;1
2025;A1;27034;1;1;157;157;26;8429012;99
2025;A1;27034;1;1;157;157;26;8429020;10
2025;A1;27034;1;1;157;157;26;8524010;1
2025;A1;27034;1;1;157;157;26;8619019;3
2025;A1;27034;1;1;157;157;26;8711021;1
2025;A1;27034;1;1;157;157;26;8800006;1
2025;A1;27034;1;1;157;157;26;8814015;1
2025;A1;27034;1;1;157;157;26;8900004;10
2025;A1;27034;1;1;157;157;26;8933013;1
2025;A1;27034;1;1;157;157;26;8942014;2
2025;A1;27034;1;1;157;157;26;8944028;2
2025;A1;27034;1;1;157;157;26;9112012;10
2025;A1;27034;1;1;157;157;26;9113010;1
2025;A1;27034;1;1;157;157;26;9119018;10
2025;A1;27034;1;1;157;157;26;9121013;1
2025;A1;27034;1;1;157;157;26;9129017;2
2025;A1;27034;1;1;157;157;26;9191016;1
2025;A1;27034;1;1;157;157;26;9211012;1
2025;A1;27034;1;1;157;157;26;9212010;2
2025;A1;27034;1;1;157;157;26;9214016;1
2025;A1;27034;1;1;157;157;26;9312018;2
2025;A1;27034;1;1;157;157;26;9400003;1
2025;A1;27034;1;1;157;157;30;1211028;1
2025;A1;27034;1;1;157;157;30;9213018;1
2025;A1;27034;2;1;157;157;2;2400000;1
2025;A1;27034;2;1;157;157;2;3411022;1
2025;A1;27034;2;1;157;157;2;3632016;1
2025;A1;27034;2;1;157;157;2;4222014;1
2025;A1;27034;2;1;157;157;2;4229010;1
2025;A1;27034;2;1;157;157;2;6411011;1
2025;A1;27034;2;1;157;157;2;6622022;1
2025;A1;27034;2;1;157;157;2;7400005;1
2025;A1;27034;2;1;157;157;2;8413015;2
2025;A1;27034;2;1;157;157;2;8414013;1
2025;A1;27034;2;1;157;157;2;8422016;1
2025;A1;27034;2;1;157;157;2;8914013;1
2025;A1;27034;2;1;157;157;2;9112012;1
2025;A1;27034;2;1;157;157;6;3531010;1
2025;A1;27034;2;1;157;157;15;6712013;1
2025;A1;27034;2;1;157;157;25;191015;1
2025;A1;27034;2;1;157;157;25;2900000;1
2025;A1;27034;2;1;157;157;25;3412020;1
2025;A1;27034;2;1;157;157;25;3531010;1
2025;A1;27034;2;1;157;157;25;3699024;1
2025;A1;27034;2;1;157;157;25;6100002;1
2025;A1;27034;2;1;157;157;25;6122014;1
2025;A1;27034;2;1;157;157;25;6132021;1
2025;A1;27034;2;1;157;157;25;6629010;1
2025;A1;27034;2;1;157;157;25;8313017;1
2025;A1;27034;2;1;157;157;25;8412017;1
2025;A1;27034;2;1;157;157;25;8424012;1
2025;A1;27034;2;1;157;157;25;8711021;1
2025;A1;27034;2;1;157;157;25;9129017;1
2025;A1;27034;2;1;157;157;26;0081121;2
2025;A1;27034;2;1;157;157;26;10000041;1
2025;A1;27034;2;1;157;157;26;2071017;1
2025;A1;27034;2;1;157;157;26;2099043;3
2025;A1;27034;2;1;157;157;26;211011;1
2025;A1;27034;2;1;157;157;26;2900000;1
2025;A1;27034;2;1;157;157;26;3051026;3
2025;A1;27034;2;1;157;157;26;3600005;3
2025;A1;27034;2;1;157;157;26;3697010;1
2025;A1;27034;2;1;157;157;26;4112017;1
2025;A1;27034;2;1;157;157;26;4193017;1
2025;A1;27034;2;1;157;157;26;4222014;1
2025;A1;27034;2;1;157;157;26;4229010;1
2025;A1;27034;2;1;157;157;26;6231021;1
2025;A1;27034;2;1;157;157;26;6311039;2
2025;A1;27034;2;1;157;157;26;6711015;2
2025;A1;27034;2;1;157;157;26;6712013;2
2025;A1;27034;2;1;157;157;26;7613004;1
2025;A1;27034;2;1;157;157;26;8313017;1
2025;A1;27034;2;1;157;157;26;8411019;1
2025;A1;27034;2;1;157;157;26;8412017;1
2025;A1;27034;2;1;157;157;26;8422016;1
2025;A1;27034;2;1;157;157;26;8427016;2
2025;A1;27034;2;1;157;157;26;8800006;1
2025;A1;27034;2;1;157;157;26;8935019;1
2025;A1;27034;2;1;157;157;26;9119018;1
2025;A1;27034;2;1;157;157;26;9129017;4
2025;A1;27034;2;1;157;157;26;9213018;1
2025;A1;27034;2;1;157;157;26;9214016;1
2025;A1;27034;2;5;157;157;2;3099042;1
2025;A1;27034;2;5;157;157;2;3411022;1
2025;A1;27034;2;5;157;157;2;3531010;1
2025;A1;27034;2;5;157;157;2;3700003;1
2025;A1;27034;2;5;157;157;2;3711018;1
2025;A1;27034;2;5;157;157;2;6112015;1
2025;A1;27034;2;5;157;157;2;6132021;1
2025;A1;27034;2;5;157;157;2;6211023;1
2025;A1;27034;2;5;157;157;2;6233019;1
2025;A1;27034;2;5;157;157;2;6300008;1
2025;A1;27034;2;5;157;157;2;6600002;1
2025;A1;27034;2;5;157;157;2;6629010;1
2025;A1;27034;2;5;157;157;2;6721036;1
2025;A1;27034;2;5;157;157;2;8313017;1
2025;A1;27034;2;5;157;157;2;8414013;2
2025;A1;27034;2;5;157;157;2;8422016;1
2025;A1;27034;2;5;157;157;2;8429012;1
2025;A1;27034;2;5;157;157;2;8511017;1
2025;A1;27034;2;5;157;157;2;8935019;1
2025;A1;27034;2;5;157;157;15;4121034;1
2025;A1;27034;2;5;157;157;25;0071312;1
2025;A1;27034;2;5;157;157;25;2097013;1
2025;A1;27034;2;5;157;157;25;2099043;1
2025;A1;27034;2;5;157;157;25;2611011;1
2025;A1;27034;2;5;157;157;25;2900000;2
2025;A1;27034;2;5;157;157;25;4199015;1
2025;A1;27034;2;5;157;157;25;4222014;1
2025;A1;27034;2;5;157;157;25;6122014;1
2025;A1;27034;2;5;157;157;25;6312011;2
2025;A1;27034;2;5;157;157;25;6711015;1
2025;A1;27034;2;5;157;157;25;6722012;1
2025;A1;27034;2;5;157;157;25;8519011;1
2025;A1;27034;2;5;157;157;25;8914013;1
2025;A1;27034;2;5;157;157;25;9112012;2
2025;A1;27034;2;5;157;157;25;9113010;1
2025;A1;27034;2;5;157;157;26;0011121;1
2025;A1;27034;2;5;157;157;26;0048411;1
2025;A1;27034;2;5;157;157;26;10000036;1
2025;A1;27034;2;5;157;157;26;10000041;2
2025;A1;27034;2;5;157;157;26;10000056;1
2025;A1;27034;2;5;157;157;26;111097;3
2025;A1;27034;2;5;157;157;26;131011;1
2025;A1;27034;2;5;157;157;26;2000008;1
2025;A1;27034;2;5;157;157;26;2099043;4
2025;A1;27034;2;5;157;157;26;2100006;1
2025;A1;27034;2;5;157;157;26;2612019;1
2025;A1;27034;2;5;157;157;26;2639039;1
2025;A1;27034;2;5;157;157;26;2700004;1
2025;A1;27034;2;5;157;157;26;2900000;3
2025;A1;27034;2;5;157;157;26;3051026;5
2025;A1;27034;2;5;157;157;26;3099042;1
2025;A1;27034;2;5;157;157;26;3412020;2
2025;A1;27034;2;5;157;157;26;3596014;1
2025;A1;27034;2;5;157;157;26;3599133;1
2025;A1;27034;2;5;157;157;26;3600005;6
2025;A1;27034;2;5;157;157;26;3632016;1
2025;A1;27034;2;5;157;157;26;400002;1
2025;A1;27034;2;5;157;157;26;4113015;1
2025;A1;27034;2;5;157;157;26;4199015;3
2025;A1;27034;2;5;157;157;26;4222014;3
2025;A1;27034;2;5;157;157;26;4229010;1
2025;A1;27034;2;5;157;157;26;4299013;2
2025;A1;27034;2;5;157;157;26;5011010;1
2025;A1;27034;2;5;157;157;26;6112015;1
2025;A1;27034;2;5;157;157;26;6122014;1
2025;A1;27034;2;5;157;157;26;6125018;1
2025;A1;27034;2;5;157;157;26;6139019;1
2025;A1;27034;2;5;157;157;26;6400006;1
2025;A1;27034;2;5;157;157;26;6515011;1
2025;A1;27034;2;5;157;157;26;6600002;1
2025;A1;27034;2;5;157;157;26;6622022;1
2025;A1;27034;2;5;157;157;26;6629010;1
2025;A1;27034;2;5;157;157;26;6711015;4
2025;A1;27034;2;5;157;157;26;6712013;10
2025;A1;27034;2;5;157;157;26;6721036;1
2025;A1;27034;2;5;157;157;26;6815015;1
2025;A1;27034;2;5;157;157;26;6999041;1
2025;A1;27034;2;5;157;157;26;7119010;1
2025;A1;27034;2;5;157;157;26;8211013;1
2025;A1;27034;2;5;157;157;26;8412017;1
2025;A1;27034;2;5;157;157;26;8413015;1
2025;A1;27034;2;5;157;157;26;8414013;1
2025;A1;27034;2;5;157;157;26;8421018;1
2025;A1;27034;2;5;157;157;26;8422016;1
2025;A1;27034;2;5;157;157;26;8429012;1
2025;A1;27034;2;5;157;157;26;8524010;1
2025;A1;27034;2;5;157;157;26;8611015;1
2025;A1;27034;2;5;157;157;26;8935019;1
2025;A1;27034;2;5;157;157;26;9112012;1
2025;A1;27034;2;5;157;157;26;9113010;1
2025;A1;27034;2;5;157;157;26;9119018;1
2025;A1;27034;2;5;157;157;26;9122011;1
2025;A1;27034;2;5;157;157;26;9129017;1
2025;A1;27034;2;5;157;157;26;9211012;1
2025;A1;27034;2;5;157;157;26;9212010;1
2025;A1;27034;2;5;157;157;26;9331018;1
2025;A1;27034;5;1;157;157;2;0046321;1
2025;A1;27034;5;1;157;157;2;2000008;1
2025;A1;27034;5;1;157;157;2;2400000;1
2025;A1;27034;5;1;157;157;2;2612019;1
2025;A1;27034;5;1;157;157;2;3099042;1
2025;A1;27034;5;1;157;157;2;3229045;1
2025;A1;27034;5;1;157;157;2;3412020;1
2025;A1;27034;5;1;157;157;2;3900009;2
2025;A1;27034;5;1;157;157;2;6131023;1
2025;A1;27034;5;1;157;157;2;6300008;1
2025;A1;27034;5;1;157;157;2;6411011;1
2025;A1;27034;5;1;157;157;2;6622022;2
2025;A1;27034;5;1;157;157;2;6629010;2
2025;A1;27034;5;1;157;157;2;8312019;2
2025;A1;27034;5;1;157;157;2;8413015;1
2025;A1;27034;5;1;157;157;2;8427016;1
2025;A1;27034;5;1;157;157;2;8429012;1
2025;A1;27034;5;1;157;157;2;8500002;1
2025;A1;27034;5;1;157;157;2;8511017;2
2025;A1;27034;5;1;157;157;2;8711021;1
2025;A1;27034;5;1;157;157;2;8814015;1
2025;A1;27034;5;1;157;157;2;9129017;1
2025;A1;27034;5;1;157;157;25;1439018;1
2025;A1;27034;5;1;157;157;25;149014;1
2025;A1;27034;5;1;157;157;25;2012011;1
2025;A1;27034;5;1;157;157;25;2061034;1
2025;A1;27034;5;1;157;157;25;2093011;1
2025;A1;27034;5;1;157;157;25;2099043;3
2025;A1;27034;5;1;157;157;25;2400000;1
2025;A1;27034;5;1;157;157;25;3221017;1
2025;A1;27034;5;1;157;157;25;3413010;1
2025;A1;27034;5;1;157;157;25;4193017;1
2025;A1;27034;5;1;157;157;25;4299013;1
2025;A1;27034;5;1;157;157;25;6100002;2
2025;A1;27034;5;1;157;157;25;6112015;2
2025;A1;27034;5;1;157;157;25;6122014;2
2025;A1;27034;5;1;157;157;25;6131023;2
2025;A1;27034;5;1;157;157;25;6132021;1
2025;A1;27034;5;1;157;157;25;6211023;1
2025;A1;27034;5;1;157;157;25;6233019;1
2025;A1;27034;5;1;157;157;25;6400006;4
2025;A1;27034;5;1;157;157;25;6411011;2
2025;A1;27034;5;1;157;157;25;6622022;1
2025;A1;27034;5;1;157;157;25;6629010;1
2025;A1;27034;5;1;157;157;25;7111016;1
2025;A1;27034;5;1;157;157;25;8942014;1
2025;A1;27034;5;1;157;157;25;9212010;3
2025;A1;27034;5;1;157;157;26;0011121;4
2025;A1;27034;5;1;157;157;26;0046311;1
2025;A1;27034;5;1;157;157;26;0051721;1
2025;A1;27034;5;1;157;157;26;0061118;1
2025;A1;27034;5;1;157;157;26;10000036;2
2025;A1;27034;5;1;157;157;26;10000041;2
2025;A1;27034;5;1;157;157;26;1439018;1
2025;A1;27034;5;1;157;157;26;2000008;1
2025;A1;27034;5;1;157;157;26;2049022;1
2025;A1;27034;5;1;157;157;26;2094019;1
2025;A1;27034;5;1;157;157;26;2099043;6
2025;A1;27034;5;1;157;157;26;211011;1
2025;A1;27034;5;1;157;157;26;2400000;1
2025;A1;27034;5;1;157;157;26;2700004;1
2025;A1;27034;5;1;157;157;26;2822014;1
2025;A1;27034;5;1;157;157;26;3051026;3
2025;A1;27034;5;1;157;157;26;3061025;1
2025;A1;27034;5;1;157;157;26;311019;1
2025;A1;27034;5;1;157;157;26;312017;1
2025;A1;27034;5;1;157;157;26;3200003;1
2025;A1;27034;5;1;157;157;26;3429017;1
2025;A1;27034;5;1;157;157;26;3599133;1
2025;A1;27034;5;1;157;157;26;3600005;2
2025;A1;27034;5;1;157;157;26;3631018;1
2025;A1;27034;5;1;157;157;26;3699024;3
2025;A1;27034;5;1;157;157;26;4111952;1
2025;A1;27034;5;1;157;157;26;4199015;2
2025;A1;27034;5;1;157;157;26;6112015;3
2025;A1;27034;5;1;157;157;26;6132013;1
2025;A1;27034;5;1;157;157;26;6132047;1
2025;A1;27034;5;1;157;157;26;6233019;1
2025;A1;27034;5;1;157;157;26;6322010;1
2025;A1;27034;5;1;157;157;26;6329016;1
2025;A1;27034;5;1;157;157;26;6400006;1
2025;A1;27034;5;1;157;157;26;6411011;1
2025;A1;27034;5;1;157;157;26;6515011;2
2025;A1;27034;5;1;157;157;26;6600002;1
2025;A1;27034;5;1;157;157;26;6622022;5
2025;A1;27034;5;1;157;157;26;6629010;1
2025;A1;27034;5;1;157;157;26;6711015;1
2025;A1;27034;5;1;157;157;26;6712013;1
2025;A1;27034;5;1;157;157;26;6815015;1
2025;A1;27034;5;1;157;157;26;7111016;1
2025;A1;27034;5;1;157;157;26;7119010;1
2025;A1;27034;5;1;157;157;26;7123011;1
2025;A1;27034;5;1;157;157;26;7300007;1
2025;A1;27034;5;1;157;157;26;7611016;1
2025;A1;27034;5;1;157;157;26;8100000;1
2025;A1;27034;5;1;157;157;26;8312019;3
2025;A1;27034;5;1;157;157;26;8313017;1
2025;A1;27034;5;1;157;157;26;8412017;1
2025;A1;27034;5;1;157;157;26;8414013;9
2025;A1;27034;5;1;157;157;26;8419013;2
2025;A1;27034;5;1;157;157;26;8427016;3
2025;A1;27034;5;1;157;157;26;8429012;5
2025;A1;27034;5;1;157;157;26;8429020;1
2025;A1;27034;5;1;157;157;26;8500002;1
2025;A1;27034;5;1;157;157;26;8700008;1
2025;A1;27034;5;1;157;157;26;8814015;1
2025;A1;27034;5;1;157;157;26;8827018;1
2025;A1;27034;5;1;157;157;26;8911019;2
2025;A1;27034;5;1;157;157;26;8929020;1
2025;A1;27034;5;1;157;157;26;8934011;1
2025;A1;27034;5;1;157;157;26;9112012;1
2025;A1;27034;5;1;157;157;26;9119018;1
2025;A1;27034;5;1;157;157;26;9212010;3
2025;A1;27034;5;5;157;157;26;2091015;1
2025;A1;27034;5;5;157;157;26;2099043;1
2025;A1;27034;5;5;157;157;26;3600005;1
2025;A1;27034;5;5;157;157;26;3632016;1
2025;A1;27034;5;5;157;157;26;4113015;1
2025;A1;27034;5;5;157;157;26;8429020;1
2025;A1;27034;5;5;157;157;26;8711021;1
2025;A1;27034;5;5;157;157;26;8911019;1
2025;A1;27034;5;5;157;157;26;9112012;1
2025;A1;27034;5;5;157;157;26;9129017;2
2025;A1;27034;5;5;157;157;26;9214016;1
2025;A1;27034;6;1;47;157;2;3932010;1
2025;A1;27034;6;1;157;157;26;2313021;1
